Датум на билтен,СВР,ПС на внесување,Општа област,Област на криминал,Дело,Датум на случување,Време на случување,Општина,Локација,Настан,Штета,Корист
10/7/2014,СВР ШТИП,ПС-ОН ШТИП,Кривични дела,Кривични дела за кои гонењето се превзема по приватна тужба,Кражба - п.т.,10/7/2014,3:15:00 AM,ШТИП,ул.Ленинова бр.28 во Штип,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово",0.00 ден,"2,000.00 ден"
10/7/2014,СВР ШТИП,ПС-ОН ШТИП,Кривични дела,Кривични дела за кои гонењето се превзема по приватна тужба,Кражба - п.т.,10/7/2014,6:00:00 PM,ШТИП,бања Кежовица-Штип,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","1,500.00 ден","1,500.00 ден"
10/7/2014,СВР ШТИП,ПС-ОН ШТИП,Кривични дела,Кривични дела за кои гонењето се превзема по службена должност,"Кражба на електрична енергија, топлинска енергија или природен гас",10/7/2014,11:00:00 AM,ШТИП,ул.Радански пат бб во Штип,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово",0.00 ден,0.00 ден
10/7/2014,СВР ШТИП,ПС-ОН ШТИП,Кривични дела,Кривични дела за кои гонењето се превзема по службена должност,"Кражба на електрична енергија, топлинска енергија или природен гас",10/7/2014,12:00:00 PM,ШТИП,ул.Радански пат бр.101 во Штип,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово",0.00 ден,0.00 ден
10/7/2014,СВР ШТИП,ПС-ОН ШТИП,Кривични дела,Кривични дела за кои гонењето се превзема по службена должност,Разбојништво,10/6/2014,11:05:00 PM,ШТИП,ул.4-та Маќедонска бригада-Штип,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово",0.00 ден,0.00 ден
10/7/2014,СВР ШТИП,ПС-ОН ШТИП,Кривични дела,Кривични дела за кои гонењето се превзема по службена должност,Тешка кражба,10/7/2014,3:00:00 AM,ШТИП,ул.Сутјеска бб во Штип,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово",0.00 ден,"10,000.00 ден"
10/7/2014,СВР ШТИП,ПС за БПС ШТИП,Примена на полициски овластувања,Извршени увиди,Извршени увиди по сообраќајни незгоди - со тешки телесни повреди,10/7/2014,9:15:00 PM,ШТИП,Маг.пат А4  Штип-Радовиш на 23-ти км сметано од Штип спрема Радовиш ,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","300,000.00 ден",0.00 ден
10/7/2014,СВР ШТИП,ПС-ОН КОЧАНИ,Кривични дела,Кривични дела за кои гонењето се превзема по приватна тужба,Кражба - п.т.,10/7/2014,10:30:00 PM,КОЧАНИ,Градски плоштад,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","9,000.00 ден",0.00 ден
10/7/2014,СВР ШТИП,ПС-ОН КОЧАНИ,Кривични дела,Кривични дела за кои гонењето се превзема по приватна тужба,Оштетување туѓи предмети - п.т.,10/7/2014,8:45:00 AM,КОЧАНИ," лоцирана на ул.,,Никола Карев“ бр.9 во Кочани.","6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","1,000.00 ден",0.00 ден
10/7/2014,СВР ШТИП,ПС-ОН КОЧАНИ,Кривични дела,Кривични дела за кои гонењето се превзема по приватна тужба,Оштетување туѓи предмети - п.т.,10/7/2014,8:45:00 AM,КОЧАНИ,"лоциран на ул.,,Димитар Влахов“ бр.7 во Кочани","6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","1,500.00 ден",0.00 ден
10/7/2014,СВР ШТИП,ПС-ОН КОЧАНИ,Прекршоци,Прекршоци против јавниот ред и мир,Нарушен ЈРМ со физички напад,10/7/2014,8:00:00 PM,ЗРНОВЦИ,с.Зрновци,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово",0.00 ден,0.00 ден
10/7/2014,СВР ШТИП,ПО за БПС СВЕТИ НИКОЛЕ,Примена на полициски овластувања,Извршени увиди,Извршени увиди по сообраќајни незгоди - со материјална штета,10/7/2014,1:25:00 PM,ЛОЗОВО,"Маг,пат","6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","2,000.00 ден",0.00 ден
10/7/2014,СВР ШТИП,ПО за БПС СВЕТИ НИКОЛЕ,Примена на полициски овластувања,Извршени увиди,Сообраќајни незгоди со НН лице - со материјална штета,10/7/2014,7:30:00 AM,ЛОЗОВО,маг.пат А-3,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово",0.00 ден,0.00 ден
10/7/2014,СВР ШТИП,ПС-ОН ДЕЛЧЕВО,Кривични дела,Кривични дела за кои гонењето се превзема по службена должност,Кражба,10/7/2014,6:00:00 PM,ДЕЛЧЕВО,делчево,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово",0.00 ден,0.00 ден
10/7/2014,СВР ШТИП,ПС-ОН БЕРОВО,Кривични дела,Кривични дела во врска со семејно насилство,Загрозување на сигурноста - с.н.,10/7/2014,9:00:00 AM,БЕРОВО,домот на пријавителот на ул.„Ѓуро Ѓаковиќ“ бр.36,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово",0.00 ден,0.00 ден
10/7/2014,СВР ШТИП,ПС-ОН БЕРОВО,Кривични дела,Кривични дела за кои гонењето се превзема по приватна тужба,Кражба - п.т.,10/7/2014,9:30:00 AM,БЕРОВО,ул.„Дедо Иљо Малешевски“ во Берово,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","10,000.00 ден","10,000.00 ден"
10/7/2014,СВР ШТИП,ПК ПЕХЧЕВО,Кривични дела,Кривични дела за кои гонењето се превзема по службена должност,"Неовластено производство и пуштање во промет на наркотични дроги, психотропни супстанции и прекурсори",10/7/2014,10:00:00 AM,БЕРОВО,Пехчево ул „“ ,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово",0.00 ден,0.00 ден
10/6/2014,СВР ШТИП,ПС-ОН ШТИП,Кривични дела,Кривични дела за кои гонењето се превзема по приватна тужба,Кражба - п.т.,10/5/2014,5:00:00 PM,ШТИП,ул. Сремска,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","3,000.00 ден","3,000.00 ден"
10/6/2014,СВР ШТИП,ПС-ОН ШТИП,Кривични дела,Кривични дела за кои гонењето се превзема по приватна тужба,Кражба - п.т.,10/5/2014,11:00:00 PM,ШТИП,ул. Партизанска ,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","1,000.00 ден","1,000.00 ден"
10/6/2014,СВР ШТИП,ПС-ОН ШТИП,Кривични дела,Кривични дела за кои гонењето се превзема по приватна тужба,Кражба - п.т.,10/6/2014,8:50:00 PM,ШТИП,ул.Косовска бр.8,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово",900.00 ден,900.00 ден
10/6/2014,СВР ШТИП,ПС-ОН ШТИП,Кривични дела,Кривични дела за кои гонењето се превзема по службена должност,Тешка кражба,10/6/2014,3:40:00 PM,ШТИП,ул.Браќа Даневи-Штип,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово",0.00 ден,0.00 ден
10/6/2014,СВР ШТИП,ПС-ОН ШТИП,Прекршоци,Прекршоци против јавниот ред и мир,Нарушен ЈРМ со оддавање на пијанство,10/6/2014,4:30:00 PM,ШТИП,ул.Косовска бр.190 Штип,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово",0.00 ден,0.00 ден
10/6/2014,СВР ШТИП,ПС-ОН КОЧАНИ,Кривични дела,Кривични дела за кои гонењето се превзема по приватна тужба,Кражба - п.т.,10/6/2014,7:30:00 PM,КОЧАНИ,Жито Ориз - Кочани,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","2,500.00 ден",0.00 ден
10/6/2014,СВР ШТИП,ПС-ОН КОЧАНИ,Кривични дела,Кривични дела за кои гонењето се превзема по службена должност,Кражба,10/5/2014,9:30:00 AM,КОЧАНИ,ул.„Скопска“ Кочпани,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","30,000.00 ден",0.00 ден
10/6/2014,СВР ШТИП,ПС-ОН КОЧАНИ,Кривични дела,Кривични дела за кои гонењето се превзема по службена должност,Тешка кражба,10/6/2014,12:45:00 PM,ЧЕШИНОВО-ОБЛЕШЕВО,ул.„Сремска“ бб,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","6,000.00 ден",0.00 ден
10/6/2014,СВР ШТИП,ПО за БПС ПРОБИШТИП,Примена на полициски овластувања,Извршени увиди,Извршени увиди по сообраќајни незгоди - со телесни повреди,10/6/2014,9:00:00 AM,ПРОБИШТИП, Р-1205 м.в. Киселица,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово",0.00 ден,0.00 ден
10/6/2014,СВР ШТИП,ПС-ОН ВИНИЦА,Кривични дела,Кривични дела за кои гонењето се превзема по службена должност,Тешка кражба,10/3/2014,6:00:00 AM,ВИНИЦА,Обозна с.Лаки Виница,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово",0.00 ден,0.00 ден
10/6/2014,СВР ШТИП,ПО за БПС ДЕЛЧЕВО,Примена на полициски овластувања,Извршени увиди,Извршени увиди по сообраќајни незгоди - со материјална штета,10/6/2014,4:00:00 PM,ДЕЛЧЕВО,А-3 м.в. Потпорен зид,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово",0.00 ден,0.00 ден
10/6/2014,СВР ШТИП,ПС-ОН БЕРОВО,Кривични дела,Кривични дела за кои гонењето се превзема по службена должност,Злоупотреба на службена положба и овластување,10/6/2014,12:45:00 PM,ВИНИЦА,Берово ,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово",0.00 ден,0.00 ден
10/5/2014,СВР ШТИП,ПС-ОН ШТИП,Кривични дела,Кривични дела за кои гонењето се превзема по приватна тужба,Кражба - п.т.,10/3/2014,10:30:00 AM,ШТИП,ул.Никола Карев,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","5,990.00 ден",0.00 ден
10/5/2014,СВР ШТИП,ПС-ОН ШТИП,Кривични дела,Кривични дела за кои гонењето се превзема по приватна тужба,Кражба - п.т.,10/5/2014,12:10:00 PM,ШТИП,подрумска просторија на ул.Солидарност 3/13,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","1,200.00 ден","1,200.00 ден"
10/5/2014,СВР ШТИП,ПС-ОН ШТИП,Кривични дела,Кривични дела за кои гонењето се превзема по приватна тужба,Кражба - п.т.,10/5/2014,12:45:00 PM,ШТИП,с.Долни Балван-Штип,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","2,500.00 ден",0.00 ден
10/5/2014,СВР ШТИП,ПС-ОН ШТИП,Кривични дела,Кривични дела за кои гонењето се превзема по приватна тужба,Оштетување туѓи предмети - п.т.,10/5/2014,11:50:00 AM,ШТИП,с.Криви дол,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово",0.00 ден,0.00 ден
10/5/2014,СВР ШТИП,ПС-ОН ШТИП,Кривични дела,Кривични дела за кои гонењето се превзема по службена должност,Кражба,10/5/2014,7:42:00 PM,ШТИП,ул.Косовска,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","64,000.00 ден",0.00 ден
10/5/2014,СВР ШТИП,ПС за БПС ШТИП,Примена на полициски овластувања,Извршени увиди,Сообраќајни незгоди со НН лице - со материјална штета,10/4/2014,6:40:00 PM,ШТИП,на крстосница од ул.Васил Главинов со ул.Борко Талев во Штип  .                                                           ,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","1,000.00 ден",0.00 ден
10/5/2014,СВР ШТИП,ПС-ОН КОЧАНИ,Кривични дела,Кривични дела за кои гонењето се превзема по приватна тужба,Кражба - п.т.,10/5/2014,10:00:00 AM,КОЧАНИ,ул.“ Роза Петрова“ бр.103 во Кочани,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","1,000.00 ден",0.00 ден
10/5/2014,СВР ШТИП,ПС-ОН КОЧАНИ,Кривични дела,Кривични дела за кои гонењето се превзема по службена должност,Тешка кражба,10/5/2014,3:10:00 PM,КОЧАНИ,ул.“ Штипски пат“ Кочани,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","6,000.00 ден",0.00 ден
10/4/2014,СВР ШТИП,ПС-ОН ШТИП,Кривични дела,Кривични дела за кои гонењето се превзема по приватна тужба,Оштетување туѓи предмети - п.т.,10/4/2014,4:30:00 PM,ШТИП,Ул.Пролетерска бб Штип,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","3,000.00 ден",0.00 ден
10/4/2014,СВР ШТИП,ПС-ОН ШТИП,Кривични дела,Кривични дела за кои гонењето се превзема по службена должност,Тешка кражба,10/4/2014,9:23:00 AM,ШТИП,ул.И.Л.Рибар бр.110 Штип,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","1,350.00 ден",0.00 ден
10/4/2014,СВР ШТИП,ПС-ОН ШТИП,Кривични дела,Кривични дела за кои гонењето се превзема по службена должност,Тешка кражба,10/4/2014,6:00:00 PM,ШТИП,Ул.Браќа Даневи бр.4/4 Штип,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово",0.00 ден,0.00 ден
10/4/2014,СВР ШТИП,ПС-ОН ШТИП,Кривични дела,Кривични дела за кои гонењето се превзема по службена должност,Тешка кражба во обид,10/4/2014,1:51:00 PM,ШТИП,ул.Трст,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово",0.00 ден,0.00 ден
10/4/2014,СВР ШТИП,ПС за БПС ШТИП,Примена на полициски овластувања,Извршени увиди,Сообраќајни незгоди со НН лице - со повредени лица,10/4/2014,7:30:00 PM,ШТИП,ул. Крушевска Република,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","3,000.00 ден",0.00 ден
10/4/2014,СВР ШТИП,ПС-ОН КОЧАНИ,Кривични дела,Кривични дела за кои гонењето се превзема по приватна тужба,Кражба - п.т.,10/4/2014,8:15:00 AM,КОЧАНИ,Нива на патот нас.Оризари с.Прибачево,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","4,000.00 ден",0.00 ден
10/4/2014,СВР ШТИП,ПС-ОН КОЧАНИ,Кривични дела,Кривични дела за кои гонењето се превзема по приватна тужба,Кражба - п.т.,10/4/2014,10:00:00 AM,КОЧАНИ,м.в.„Пониква“,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","6,000.00 ден",0.00 ден
10/4/2014,СВР ШТИП,ПС-ОН КОЧАНИ,Кривични дела,Кривични дела за кои гонењето се превзема по приватна тужба,Кражба - п.т.,10/4/2014,10:30:00 PM,КОЧАНИ," на Градскиот плоштад во Кочани,","6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","7,000.00 ден",0.00 ден
10/4/2014,СВР ШТИП,ПС-ОН КОЧАНИ,Кривични дела,Кривични дела за кои гонењето се превзема по приватна тужба,Оштетување туѓи предмети - п.т.,10/4/2014,7:10:00 AM,КОЧАНИ,ил.Скопска бр.6/1 во Кочани,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","6,000.00 ден",0.00 ден
10/4/2014,СВР ШТИП,ПС-ОН СВЕТИ НИКОЛЕ,Кривични дела,Кривични дела за кои гонењето се превзема по приватна тужба,Телесна повреда - п.т.,10/3/2014,10:00:00 PM,СВЕТИ НИКОЛЕ,ул.11-ти Октомври,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово",0.00 ден,0.00 ден
10/4/2014,СВР ШТИП,ПС-ОН СВЕТИ НИКОЛЕ,Прекршоци,Прекршоци против јавниот ред и мир,Нарушен ЈРМ со физички напад,10/4/2014,3:45:00 PM,СВЕТИ НИКОЛЕ,ул: Младинска бр.59 дворно место сопственост на Доневски Крунислав,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово",0.00 ден,0.00 ден
10/4/2014,СВР ШТИП,ПС-ОН СВЕТИ НИКОЛЕ,Прекршоци,Прекршоци против јавниот ред и мир,Неовластено пукање од огнено оружје или употреба на пиротехнички средства,10/3/2014,11:00:00 PM,СВЕТИ НИКОЛЕ,с.Горобинци,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово",0.00 ден,0.00 ден
10/4/2014,СВР ШТИП,ПС-ОН ДЕЛЧЕВО,Примена на полициски овластувања,Извршени увиди,Увид на местото на настанот,10/3/2014,5:00:00 PM,ДЕЛЧЕВО,м.в.Црквенска река,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово",0.00 ден,0.00 ден
10/4/2014,СВР ШТИП,ПС-ОН БЕРОВО,Кривични дела,Кривични дела за кои гонењето се превзема по приватна тужба,Кражба - п.т.,10/4/2014,11:00:00 AM,БЕРОВО,м.в. ``Ормане`` - Берово ,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","6,000.00 ден","6,000.00 ден"
10/4/2014,СВР ШТИП,ПО за БПС БЕРОВО,Примена на полициски овластувања,Извршени увиди,Извршени увиди по сообраќајни незгоди - со телесни повреди,10/4/2014,3:45:00 PM,БЕРОВО,м.в.„Шушлавец“ атар на Берово,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","30,000.00 ден",0.00 ден
10/3/2014,СВР ШТИП,ПС-ОН ШТИП,Кривични дела,Кривични дела за кои гонењето се превзема по приватна тужба,Кражба - п.т.,10/3/2014,4:00:00 AM,КАРБИНЦИ,ОУ Страшо Пинџур с.Таринци,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово",0.00 ден,"3,500.00 ден"
10/3/2014,СВР ШТИП,ПС-ОН ШТИП,Кривични дела,Кривични дела за кои гонењето се превзема по приватна тужба,Кражба - п.т.,10/3/2014,10:00:00 PM,ШТИП,ул.Ванчо Прќе бр.бб испред Трговски Центар,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","3,000.00 ден",0.00 ден
10/3/2014,СВР ШТИП,ПС-ОН ШТИП,Кривични дела,Кривични дела за кои гонењето се превзема по приватна тужба,Оштетување туѓи предмети - п.т.,10/3/2014,12:30:00 PM,ШТИП,Ул.Ванчо Прке,"6258-На ден 05.11.2014год. во 12.30час.Никола Николовски род.06.10.1965год. во с.Белимбегово каде и живее,пријави дека денес во околу 12.00час.во долниот дел на градскиот пазар,бил пресретнат од страна на едно НН лице кое се преставило дека е од Кратово","1,000.00 ден",0.00 ден
